,tweet_id,name,type,rating_numerator,rating_denominator,rating
592,798933969379225600,Iroh,None,12,10,1.2
593,798925684722855936,Shadow,None,11,10,1.1
607,798209839306514432,Cooper,None,13,10,1.3
608,797971864723324932,None,pupper,12,10,1.2
609,797545162159308800,Cassie,None,12,10,1.2
610,797236660651966464,Pancake,None,12,10,1.2
611,797165961484890113,None,None,11,10,1.1
613,796865951799083009,Tyr,None,12,10,1.2
614,796759840936919040,Romeo,None,11,10,1.1
616,796484825502875648,None,doggo,12,10,1.2
617,796387464403357696,Snicku,None,12,10,1.2
619,796149749086875649,Ruby,None,11,10,1.1
620,796125600683540480,None,None,13,10,1.3
621,796116448414461957,None,None,11,10,1.1
622,796080075804475393,Yogi,None,12,10,1.2
623,796031486298386433,Daisy,None,13,10,1.3
624,795464331001561088,None,doggo,13,10,1.3
625,795400264262053889,Brody,None,12,10,1.2
626,795076730285391872,Bailey,None,11,10,1.1
628,794926597468000259,Mack,None,12,10,1.2
630,794332329137291264,Nimbus,None,12,10,1.2
631,794205286408003585,Laika,pupper,14,10,1.4
632,793962221541933056,Maximus,None,12,10,1.2
633,793845145112371200,Clark,None,13,10,1.3
635,793601777308463104,Dobby,None,12,10,1.2
636,793500921481273345,Fiona,None,12,10,1.2
637,793286476301799424,Moreton,None,13,10,1.3
638,793271401113350145,Dave,None,12,10,1.2
639,793256262322548741,None,None,12,10,1.2
640,793241302385262592,Tucker,None,13,10,1.3
641,793226087023144960,Juno,None,11,10,1.1
642,793210959003287553,Maude,None,10,10,1.0
643,793195938047070209,Lily,puppo,12,10,1.2
644,793180763617361921,Newt,None,11,10,1.1
645,793165685325201412,Benji,None,12,10,1.2
646,793150605191548928,Nida,None,11,10,1.1
647,793135492858580992,None,None,13,10,1.3
648,793120401413079041,Robin,None,11,10,1.1
649,792913359805018113,a,None,13,10,1.3
650,792883833364439040,Bailey,None,12,10,1.2
651,792773781206999040,Monster,None,12,10,1.2
652,792394556390137856,BeBe,None,12,10,1.2
653,792050063153438720,Remus,None,11,10,1.1
657,791774931465953280,None,None,14,10,1.4
658,791672322847637504,None,None,13,10,1.3
659,791406955684368384,Levi,None,12,10,1.2
660,791312159183634433,Mabel,None,12,10,1.2
662,790987426131050500,Misty,None,12,10,1.2
663,790946055508652032,Betty,puppo,12,10,1.2
665,790698755171364864,Mosby,None,12,10,1.2
666,790581949425475584,Duke,None,11,10,1.1
667,790337589677002753,Maggie,None,12,10,1.2
668,790277117346975746,Bruce,None,11,10,1.1
670,789986466051088384,Happy,None,12,10,1.2
672,789903600034189313,Ralphy,pupper,13,10,1.3
673,789628658055020548,Eli,None,13,10,1.3
674,789599242079838210,Brownie,None,12,10,1.2
675,789530877013393408,Rizzy,None,12,10,1.2
676,789314372632018944,None,None,13,10,1.3
678,789268448748703744,Stella,None,10,10,1.0
679,789137962068021249,Bo,None,12,10,1.2
680,788908386943430656,Lucy,None,11,10,1.1
681,788765914992902144,Butter,None,12,10,1.2
683,788412144018661376,Dexter,None,11,10,1.1
684,788178268662984705,None,None,13,10,1.3
685,788150585577050112,Leo,None,13,10,1.3
687,788039637453406209,None,None,12,10,1.2
